recipe_index,drink_name,ingredients_list, sugar_included,alcohol_content,no_of_liquid_ingredients,no_of_ingredients,fruit,juice,flavour,total_quantity_in_CL,preparations
51-recipe,Ginger cosmo,ginger;vodka;triple sec;Lime juice;Cranberry juice,FALSE,high,4,5,FALSE,TRUE,none,9,"This recipe is prepared in a shaker and pestle.;Peel the ginger and crush coarsely. The pound in the bottom of the shaker to bring out the maximum juice.;Add remaining ingredients with ice, close the shaker and shaker for at least 10 seconds.;Pour into a cocktail glass martini kind filtering well.}}"
52-recipe,Pink cocktail whiskey,raspberry;coriander;Whiskey;Sour cream;pistachio nut,FALSE,low,2,5,TRUE,FALSE,sour,20,1. Mix the raspberries with cream and 15 ml water glacee.Repartissez the mixture in glasses.;2. Add a dash of whiskey and sprinkle with pistachios concassees.Decorez a rod coriander and keep cool until ready to serve.}}
53-recipe,Cocktail grapefruit mint,grapefruit;ice cube;brown sugar;mint,TRUE,none,0,4,TRUE,FALSE,minty,0,"Remove grapefruit juice, pour the juice into the blender, add the remaining ingredients and mix everything!}}"
54-recipe,Fruit cocktail,banana;apple;kiwi fruit;water;vanilla sugar;Brown sugar,TRUE,none,1,6,TRUE,FALSE,sweet,30,"Peel and cut the fruit into pieces.;Put them in the blender (or any other container cocktail) and mix everything, adding water little by little, until the desired consistency (I like it when it's a bit thick) .;Then add the vanilla sugar and brown sugar, to taste.;Mix one last time for the sugar fits well to the mixture.;Chill for an hour and enjoy!}}"
55-recipe,Champagne cocktail mint lime,champagne;ice cube;Lime juice;mint;lemon zest,FALSE,high,1,5,FALSE,TRUE,minty,10,Put in a glass of ice at will. Add cut in half and full sheet for decoration. Join lime juice and Champagne overwhelm. Let stand 2 minutes time as flavor goes. Then enjoy!}}
56-recipe,Bloody mary,vodka;tomato juice;lemon juice;worcestershire sauce;tabasco sauce;celery salt;pepper,FALSE,low,4,7,FALSE,TRUE,salty,16,"Combine tomato juice, vodka, lemon juice;Season with celery salt, pepper and tabasco if you want}}"
57-recipe,Tequila sunrise,tequila;orange juice;Grenadine,FALSE,low,3,3,FALSE,TRUE,sweet,20,"Pour tequila in a highball glass with ice, and top with orange juice;Stir;Add grenadine by tilting glass and pouring grenadine down side by flipping the bottle vertically very quickly}}"
58-recipe,Cocktail drink with raspberries,white wine;sparkling wine;raspberry;sugar,TRUE,high,2,4,TRUE,FALSE,sweet,300,"Mix white wine, sparkling wine and sugar.;Add frozen raspberries ...;Taste very fresh ...}}"
59-recipe,Cocktail cardinal,ice cube;campari;Noilly Prat;Gin,FALSE,high,3,4,FALSE,FALSE,none,9,"In a shaker, fill with ice moitie.Verser ingredients.;Hit.;Serve in a cocktail glass and add lemon zest.}}"
60-recipe,Cocktail anapomise,Cherry juice;apple juice;Pineapple juice;Plum brandy;cane sugar,TRUE,low,5,5,FALSE,TRUE,sweet,79,Mix all ingredients and serve chilled.}}
61-recipe,Daiquiri,white rum;lime juice;cane sugar syrup;Ice cube,TRUE,high,3,4,FALSE,TRUE,sweet,7,"Pour the rum, lime juice and sugar syrup into a cocktail shaker with ice cubes.;Shake well.;Strain into a chilled cocktail glass.}}"
62-recipe,Sangria without alcohol,sangria syrup;grape juice;orange juice;lemon juice;fruit,FALSE,none,4,5,TRUE,TRUE,sweet,138,Mix syrup and juices in a big container.;Add cuted season fruits.;Put it in the refrigerator for 4 hours before serving}}
63-recipe,Cocktail Tropical Sunshine,Pineapple juice;Orange juice;Currant syrup;coconut;ice cube,FALSE,none,3,5,TRUE,TRUE,sweet,17,Pour the juice chilled fruit and blackcurrant syrup in a large glass.;Add a few ice cubes and sprinkle with shredded coconut.}}
64-recipe,Light cocktail martini,red martini;sparkling mineral water;lime;mint;sugar,TRUE,high,2,5,TRUE,FALSE,minty,200,"Pour the martini into a large pitcher, add sugar and melt.;Mix and chill at least 4 hours (overnight is better).;When ready to serve, pour the soda bottle.}}"
65-recipe,Screwdriver,vodka;orange juice,FALSE,low,2,2,FALSE,TRUE,none,16,"In a glass, mix ingredients together}}"
66-recipe,Italian prosecco cocktail,Prosecco;litchi;Litchi juice;berry juice;Lemonade,FALSE,low,4,5,FALSE,TRUE,none,215,Mix ingredients just before serving.;Pour into tall glasses.;Possibly prepare a skewer with a cherry and lychee per person.}}
67-recipe,Virevoltage,malibu rum;Litchi liqueur;Pineapple juice;apple juice;strawberry,FALSE,low,5,5,TRUE,TRUE,none,14,"In a cocktail glass filled with ice cubes, put the Malibu and Soho.;Fill half glass of pineapple juice and half apple juice, add a drop of strawberry syrup or grenadine.;Serve chilled.;Cokctail good at all!}}"
68-recipe,Lemon-mint cocktail (without alcohol),mint;cane sugar;Lime juice;lemon juice;mint;lemon slice,TRUE,none,3,6,FALSE,TRUE,minty,9,"Place in a shaker, with ice, mint syrup, sugar syrup, and lemon juice. Shake well.;Pour into a glass, garnish with a sprig of mint and a slice of lemon.}}"
69-recipe,Champagne cocktail and sake,champagne;Rice wine;coriander,FALSE,high,2,3,FALSE,FALSE,none,91,"In a champagne flute, pour 4 cl sake and fill with Champagne.;Add a sprig of cilantro glass.;To your health.}}"
70-recipe,Frosty lime,lime;grapefruit juice;mint syrup;mint,FALSE,none,2,4,TRUE,TRUE,minty,4,Mix the sorbet with the juice and the syrup.;Serve in a glass with fresh mint decoration}}
71-recipe,Cocktail Saltwater,sparkling wine;Blue curacao;triple sec;Lemon syrup;Orange syrup;cane sugar,TRUE,low,5,6,FALSE,FALSE,sweet,185,"In a large bowl mix the triple sec, curacao, the pulco lemon, orange pulco and sugar cane.;Then add bottles of sparkling fresh well.;Serve immediately.}}"
72-recipe,Grand Marnier sour (cocktail),grand marnier;lemon juice,FALSE,high,2,2,FALSE,TRUE,none,6,"In a shaker put Grand Marnier and lemon juice, and serve hit dan a large cocktail glass}}"
73-recipe,Amber apple cocktail,apple;lemon;ice cube;apple juice;calvados;Creme de cassis;champagne;blackcurrant;apple;pineapple,FALSE,high,4,10,TRUE,TRUE,none,32,"Cut an apple into thin slices and sprinkle with lemon juice. Book.;6 Put ice in your shaker, pour 10 cl apple juice 5 cl and 10 cl calvados creme de cassis.;Shake for 10 seconds.;Divide into 4 cocktail glasses, then fill with champagne.;Decorate blackcurrant, apple and pineapple.}}"
74-recipe,Caipirinha,cachaca;lime;Granulated sugar;ice cube,TRUE,high,1,4,TRUE,FALSE,sweet,4,"In a large rocks glass squeeze and drop in 2 eighths of lime.;Add sugar, crush and mix with a spoon.;Pour in the cachaca and plenty of ice.;Stir well.}}"
75-recipe,Whisky Cocktail Cranberries,Whiskey;Cranberry juice,FALSE,low,2,2,FALSE,TRUE,none,9,Just mix everything and ... Cheers!}}
76-recipe,Aquarium,Blue curacao;white rum;tequila;martini;cane sugar,TRUE,high,4,5,FALSE,FALSE,sweet,12,"Mixing in a transparent container, resembling as much as possible in an aquarium, if you do not! Mix.;Add ice cubes, and place in the fridge.;Decorate your container, incorporating elements of decoration.;The aquarium should be surprising indeed! Proportions are adapted according to the number of people.;This cocktail normally drink through a straw.}}"
77-recipe,Melon cocktail bubbles,melon;Cremant;cane sugar;lemon;ice cube,TRUE,high,2,5,TRUE,FALSE,sweet,110,"Remove the seeds of melons and melon mix.;Squeeze the lemon.;Mix it with sparkling wine, then add ice cubes and sweeten to taste.;Serve immediately.}}"
78-recipe,Le vandetta,juice;orgeat;strawberry;strawberry,FALSE,none,3,4,TRUE,TRUE,sweet,19,Wash and hull the strawberries;Mix all the ingredients and serve in a glass quickly}}
79-recipe,Pink 3x6 (cocktail),lime;lemon;Strawberry juice;grapefruit juice;fruit syrup;Lemonade;ice cube,FALSE,none,3,7,TRUE,TRUE,sweet,150,"Press three limes and three lemons, put the juice in a bowl.;Add the juice of raspberry and pink grapefruit.;Pour three tablespoons of rose syrup.;Mix and keep preparing fresh.;Just before serving, pour the lemonade well and add ice cubes.}}"
80-recipe,Mojito,white rum;mint;lime;sugar;Sparkling water;ice cube,TRUE,low,2,6,TRUE,FALSE,minty,16,"Place mint leaves, the sugar, and the cubed lemon into a glass.;Use a muddler to crush the mint and lime to release the mint oils and lime juice.;Fill the glass almost to the top with ice.;Pour the rum over the ice, and fill the glass with carbonated water.}}"
81-recipe,Cocktail Pomabricotine,Apricot juice;apple juice;sparkling water;liqueur;grenadine,FALSE,low,5,5,FALSE,TRUE,sweet,133,"Mix all ingredients, chill and add fresh sparkling water at the last moment to keep the bubbly.}}"
82-recipe,EssaiCCC,lemon;pear;vodka,FALSE,high,0,3,TRUE,FALSE,none,0,{{Preparation|text=* Preparation text}}
83-recipe,Baywatch (cocktail of the colors of the famous swimwear ... or almost),malibu rum;cherry;guava juice;currant,FALSE,low,3,4,TRUE,TRUE,none,200,Mix all ingredients together in a large pitcher.;Place in the fridge at least 3 hours before serving.;Clink clink!}}
84-recipe,Bora bora,pineapple juice;passion fruit juice;grenadine;lemon juice;ice cube,FALSE,none,4,5,FALSE,TRUE,sweet,19,Make this recipe in a shaker. Serve in a glass over ice with a slice of orange.}}
85-recipe,Cocktail de fruits,banana;apple;kiwi fruit;water;vanilla sugar;Brown_sugar,TRUE,none,1,6,TRUE,FALSE,sweet,30,"Peel and cut the fruit into pieces.;Put them in the blender (or any other container cocktail) and mix everything, adding water little by little, until the desired consistency (I like it when it's a bit thick) .;Then add the vanilla sugar and brown sugar, to taste.;Mix one last time for the sugar fits well to the mixture.;Chill for an hour and enjoy!}}"
86-recipe,Cocktail latte,coffee liqueur;Whiskey;rice milk;cane sugar;ice cube,TRUE,low,4,5,FALSE,FALSE,sweet,40,"In a shaker, pour all ingredients 2 ice cubes. (Spreading other ice cubes in the glass). Shake the shaker until the ice is melted quasimment.;Pour into a large glass or flared to obtain a creamy foam.}}"
87-recipe,Cocktail kumquat and lychee,kumquat;litchi;clementine orange;orange;water;Lemonade,FALSE,none,2,6,TRUE,FALSE,none,200,Mix all the fruit in a blender and water until blended.;Add a liter of lemonade.;Refrigerate 1 hour.}}
88-recipe,Mexican cocktail in my way,tequila;guava juice;Pineapple juice;apple juice;vanilla sugar;mint,TRUE,low,4,6,FALSE,TRUE,minty,270,"Combine guava juice and pineapple.;Add tequila and apple juice.;Mix.;Add the vanilla sugar and shake until the sugar is melted.;Chop the mint leaves and incorporate cocktail.;Reserve in the fridge for 12-24 hours.;Attention alcohol tequila fades quickly.;We do feel almost at the end of 48 hours, so do not prepare too soon.;Filter the mixture and serve chilled.}}"
89-recipe,Fraisalia cocktail (without alcohol),strawberry;Orange juice;strawberry syrup;Lemonade;ice cube,FALSE,none,3,5,TRUE,TRUE,sweet,260,"Place in a bowl chopped strawberries, orange juice and strawberry syrup.;Refrigerate at least 2 hours.;When ready to serve, add the lemonade and ice cubes.}}"
90-recipe,Sweet pink cocktail,raspberry;lemon;ice cube;grape juice;Orange juice;Schweppes;berry,FALSE,none,3,7,TRUE,TRUE,none,35,"Pour into the bowl of a mixer raspberries and lemon juice. Mix for fine grout.;Chill a cocktail shaker with ice 6. Discard the water and then turn 2 ice cubes, raspberry filtered grape juice and orange juice.;Add 10 seconds, then pour into 4 tall glasses.;Fill with Schweppes.;Decorate with berries.}}"
91-recipe,Red cocktail,pear liqueur;strawberry syrup;peach juice;vodka,FALSE,low,4,4,FALSE,TRUE,sweet,18,Mix in a glass the following proportions:;40% of lychee liqueur;20% of strawberry liqueur;40% orange juice.;And lively aperitif!}}
92-recipe,Cocktail Sweet Melon,melon;lime;Orange juice;Pineapple juice;soda water,FALSE,none,3,5,TRUE,TRUE,none,300,Cut the flesh from the melon.;Squeeze the limes.;Pour the juice into a bowl.;Add the diced melon and let rest in the fridge for 2 hours.;Add sparkling water just before serving.}}
93-recipe,Champagne cocktail,brown sugar;Angostura bitter;cognac;champagne,TRUE,high,2,4,FALSE,FALSE,sweet,9,"Place ingredients directly into a glass champagne flute type in the following order:;Soak the piece of angostura sugar, then put it at the bottom of a champagne flute.;Gently pour the cognac (it should cover the piece of sugar).;Fill with chilled champagne.}}"
94-recipe,Cocktail variant (based rose),blush wine;orange syrup;Orange juice,FALSE,high,3,3,FALSE,TRUE,sweet,900,mix well;Very cool drink}}
95-recipe,Double show,gin;orange juice;mint syrup;apple liqueur,FALSE,low,4,4,FALSE,TRUE,minty,20,{{Preparation|text=}}
96-recipe,Hulk (cocktail),White martini;Get_27;grapefruit juice,FALSE,high,3,3,FALSE,TRUE,none,18,Mix all the above in a small cup cocktail ingredients.;Add an ice cube or two and ... enjoy!}}
97-recipe,Cocktail mexicanos,beer;Pineapple juice;strawberry syrup,FALSE,low,3,3,FALSE,TRUE,sweet,27,"In a beer glass, add a dash of strawberry syrup.;Complete with beer, tipping the glass to avoid excessive foaming, and then pour the pineapple juice.;Drink very fresh.}}"
98-recipe,Black velvet,stout;champagne,FALSE,high,2,2,FALSE,FALSE,none,24,"Pour the stout and champain together in a class, being careful to ensure there is no overspill.}}"
99-recipe,Champagne soup (cocktail),cointreau;cane sugar;lime;ice cube;champagne,TRUE,high,3,5,TRUE,FALSE,sweet,99,"Pour into a container Cointreau, cane sugar and lemon juice.;Soak overnight.;Add the Champagne before serving with ice.}}"
100-recipe,Cuba libre,white rum;lime;coca-cola,FALSE,low,2,3,TRUE,FALSE,none,21,Squeeze the juice of half a lime into a collins glass.;Add ice cubes.;Add cola.;Stir well.}}
101-recipe,Tutti cocktail,strawberry syrup;peach syrup;vodka;apple;ice cube,FALSE,low,4,5,TRUE,FALSE,sweet,12,"Mix in a shaker and add ice.;For a small effect, to the strawberry syrup after mixing.}}"
102-recipe,Pina colada,white rum;amber rum;pineapple juice;coconut milk;crushed ice,FALSE,low,4,5,FALSE,TRUE,none,22,"Pour rum, cream of coconut and pineapple juice into a blender with one cup of crushed ice;Blend until smooth}}"
103-recipe,Strawberry Margarita,ice cube;lime;strawberry;tequila;cointreau;sugar,TRUE,high,2,6,TRUE,FALSE,sweet,32,"Wash and hull strawberries. Put ice cubes in a food processor and mix with strawberries.;Squeeze the limes. Put the tequila, Cointreau and lemon juice in a measuring with 2 tablespoons sugar.;Mix and pour into a blender with crushed ice and strawberries.;Decorate glasses of sugar (wet glasses in lemon juice and then dip them in sugar).;Divide cocktail in glasses and health!}}"
104-recipe,Pink cocktail pink grapefruit,blush wine;grapefruit juice;grenadine,FALSE,high,3,3,FALSE,TRUE,sweet,110,"In a large pitcher, pour the grenadine syrup and rose wine and grapefruit juice.;Serve chilled.}}"
105-recipe,"Bacardi cocktail, grenadine, lemon",rum;Grenadine;lemon juice,FALSE,high,3,3,TRUE,FALSE,sweet,42,"Put the grenadine syrup, lemon juice and Bacardi in a shaker.;Strongly shake.;Pour into glasses and serve immediately.}}"
106-recipe,MTS Cocktail,martini;triple sec;cane sugar syrup;multivitamin juice,TRUE,high,4,4,FALSE,FALSE,sweet,150,"In a large pitcher, combine all ingredients and mix. Let stand one hour in the refrigerator.;A taste very fresh.}}"
107-recipe,Madras Cocktail,Orange juice;white wine;Grenadine,FALSE,low,3,3,FALSE,TRUE,sweet,65,Mix orange juice with white wine.;Pour into glasses. Add a dash of grenadine.}}
