recipe_index,drink_name,ingredients_list, sugar_included,alcohol_content,no_of_liquid_ingredients,no_of_ingredients,fruit,juice,flavour,preparations,alcohol,Fruit,Fruit Juice,Syrup,ice,Sugar,Other ingredians
0-recipe,Ti'punch,white rum;syrup;lime,FALSE,high,2,3,TRUE,FALSE,sweet,"Wash a lime, remove top and bottom, and thinly slice into half rings. Add lime pieces to glass and crush with the flat end of a barspoon.Add rum and cane syrup, top with broken ice, and muddle together. Add a short straw, and serve.}}",white rum,lime,0,cane,0,0,0
1-recipe,Exotic Cocktail passion fruit,Lemonade;Blue curacao;passion fruit syrup;lemon juice;ice cube,FALSE,low,4,5,FALSE,TRUE,sweet,"In a shaker, combine syrup curacao syrup, passion fruit and lemon juice.Shake well and pour the mixture into a container.Stir liter of lemonade and mix well.Stir liter of lemonade and mix well.Add 5 ice cubes and serve.}}",Blue curacao,0,lemon juice,passion fruit,ice cube,0,Lemonade
2-recipe,Builder,cucumbers;lemon;sugar;ice cube,TRUE,0,0,4,TRUE,FALSE,sweet,"Mix a cucumber in a centrifuge, put the lemon juice, the sugar and the icebergs.Serve in a glass decorated of a lemon slice}}",0,Lemon,0,0,ice cube,sugar,cucumber
3-recipe,Raspberry cocktail,raspberry;cane sugar;kirsch;Lemonade;lemon;Cremant,TRUE,high,4,6,TRUE,FALSE,sweet,"The day before: put the raspberries, lemon slices, 3 glasses of cane sugar syrup, kirsch and half lemonade in a large container and marinate in the fridge. Put the rest of lemonade and bottles of sparkling wine in the fridge.Just before serving:Added to the preparation the day before the rest of lemonade and bottles of Cremant. Taste and add sugar cane if necessary because certain sound more bitter than other Cremants.}}",kirsch,"lemon, raspberry",0,Lemonade,0,cane sugar,Cremant
4-recipe,Cocktail for lovers,Orange juice;cointreau;cognac;grenadine;champagne;raspberry,FALSE,high,5,6,TRUE,TRUE,sweet,"Mix all ingredients (in advance if possible put in the fridge) with a spoon or shaker. Add just before serving raspberries (so they keep their consistency) or one hour before if you require well soaked.}} 12 cl Orange juice,18 cl cointreau,10 cl cognac,3 cl grenadine,10 cl champagne,10  raspberry","cointreau,cognac,champagne",raspberry,Orange juice,grenadine,0,0,0
5-recipe,Coconut kiss,pineapple juice;orange juice;coconut;sour cream,FALSE,none,4,4,FALSE,TRUE,sour,"3 cl pineapple juice,4 cl orange juice,2 cl coconut syrup,3 cl sour cream: Mix juices, syrups and sour cream in a shaker.Serve in a glass with an ananas slice and a piece of orange}}",0,0,"pineapple juice,orange juice",coconut syrup,0,0,sour cream
6-recipe,Shot spice,Grenadine;tabasco sauce;vodka,FALSE,high,2,3,FALSE,FALSE,spicy,"3 cl  Grenadine,tabasco sauce,6 cl  vodka In a small glass (about 4 cm in diameter and 5 cm high), add 3 mm grenadine syrup. Add 4-6 drops of tabasco, then slowly pour 2-3 cm vodka (cold, preferably), not to mix the ingredients. This cocktail is drunk ""cul-dry."" It feels relatively little alcohol initially because the grenadine is in the glass. After a few seconds, you feel the spiciness of Tabasco.}}",vodka,0,0,Grenadine,0,0,tabasco sauce
7-recipe,Cocktail Martini,martini;citrus fruit;lemon,FALSE,low,2,3,TRUE,FALSE,,"1 l martini,2 l citrus fruit,1  lemon Mix the liquids. Cut the lemon into chunks and add it. Serve chilled with ice.}}",martini,"citrus fruit, lemon",0,0,0,0,0
8-recipe,Cocktail Sparkling Strawberry Lime (without alcohol),strawberry;sugar;Lime juice;Lemonade,TRUE,none,2,4,TRUE,TRUE,sweet,"400 g strawberry,2 tsp sugar,10 cl Lime juice,30 cl Lemonade Wash, remove stems fraises.Les mixer.Ajouter put in the lime juice and lemonade and sucre.Mixer.Verser mixer nouveau.Reserver refrigerate until serving time. Here it is finished! Enjoy it!}}",0,strawberry,Lime juice,Lemonade,0,Sugar,0
9-recipe,Citrus cocktail without alcohol,Orange juice;lemon juice;strawberry,FALSE,none,2,3,TRUE,TRUE,sweet,"6 cl Orange juice,5 cl lemon juice,2  strawberry Measure each of the ingredients and pour into a shaker. Shake well. Pour into a cocktail glass or champagne flute. Repeat the operation for each person.}} ",0,strawberry,Orange juice,lemon juice,0,0,0
10-recipe,Citrouillette (champagne cocktail),Noilly_Prat;champagne,FALSE,high,2,2,FALSE,FALSE,,"4 cl  Noilly Prat,8 cl  champagne Pour Nouilly Prat in a glass and add Champagne fresh. Taste is excellent.}}", Noilly Prat,0,0,0,0,0,champagne
11-recipe,Cocktail Grand Paradis,cognac;Apricot juice;champagne,FALSE,high,3,3,FALSE,TRUE,,"1 cl cognac,5 cl Apricot juice,10 cl champagne Mix in a shaker cognac and apricot juice. Pour into a glass (tulip type) and fill with champagne.}}",cognac,0,Apricot juice,0,0,0,champagne
12-recipe,Cocktail Red Lion,W       hiskey;Creme de cassis;Benedictine;pastis;ice cube,FALSE,high,4,5,FALSE,FALSE,,"2 cl Whiskey,2 cl Creme de cassis,0.5 cl Benedictine,0.5 cl pastis,1  ice cube Fill a shaker with ice, pour the different alcohols. Close and shake strongly few seconds. Serve.}}","Whiskey, Benedictine,pastis",0,0,0,ice cube,0,Creme de cassis
13-recipe,Bacardi Cocktail,rum;grenadine;lemon juice,FALSE,high,3,3,TRUE,TRUE,,"24 cl rum,6 cl Grenadine syrup,12 cl lemon juice1. Put the rum, grenadine syrup and lemon juice in a shaker.Shake.}}","rum, grenadine",,lemon juice,,,0,0
14-recipe,Cocktail Balalaika,vodka;cointreau;lemon juice;lemon;ice cube,FALSE,high,3,5,TRUE,TRUE,,"4 cl vodka,2 cl cointreau,4 cl lemon juice,1 lemon,2 ice cubesPour alcohol and lemon juice in a tall glass over ice.Garnish with lemon slices.}}","vodka, cointreau",lemon,lemon juice,,ice cube,0,0
15-recipe,Raifortissimo,apple juice;lemon juice;wasabi;kiwi fruit;ice cube,FALSE,none,2,5,TRUE,TRUE,spicy,"5 cl apple juice,3 cl green lemon juice,10 g wasabi,1 kiwi fruit,3 ice cubesMix the kiwi fruit, add the juices, wasabi and ice cube.Serve in a glass.}}",,kiwi fruit,"apple juice, lemon juice",,ice cube,0,wasabi
16-recipe,Cocktail Cranberry-orange,Cranberry juice;Orange juice;raspberry;lemon;lemon juice,FALSE,none,2,5,TRUE,TRUE,,"25 cl Cranberry juice,10 cl Orange juice,150 g raspberry,2  lemon,1 csp lemon juiceMix the two juices.Add the raspberries and lemon juice.Mix everything pureed.Serve chilled or with ice cubes.Decorate your glasses with a slice of lemon or orange.To your health!}}",,"raspberry, lemon","Cranberry juice, Orange juice, lemon juice",,,0,0
17-recipe,Pina Colada (cocktail),malibu rum;light whipping cream;Pineapple juice;white rum;ice cube,FALSE,high,2,5,TRUE,TRUE,,"125 g malibu rum,150 g light whipping cream,20 cl Pineapple juice,20 cl white rum,ice cubesPut all ingredients except ice cubes in a blender and run at high speed for about 30 seconds.Put ice cubes in glasses and pour over the cream obtained.}}","malibu rum, white rum",,Pineapple juice,,ice cube,0,light whipping cream
18-recipe,Coconut cocktail lovers,coconut;white rum,FALSE,high,1,2,TRUE,TRUE,,"1  coconut,10 cl  white rumPierce the coconut in 3 places on the top, and drain the water inside.Completely fill white rum.Plug the holes by cropping a cork, and seal by pouring wax candle dessus.Ranger standing in the refrigerator for 3 weeks.}}",white rum,coconut,,,,0,0
19-recipe,Cocktail appetizer,dry white wine;sugar;lemon;orange;rum;sparkling water,TRUE,high,2,6,TRUE,TRUE,sweet,"2 l dry white wine, 200 g sugar,2  lemon, 2 oranges,30 cl rum, 75 cl sparkling waterMix all ingredients and serve chilled.}}","dry white wine, rum","lemon, orange",,,,sugar,sparkling water
20-recipe,Porto Flip,Porto;cognac;egg;cinnamon;nutmeg;cane sugar syrup;ice cube,TRUE,high,2,7,FALSE,FALSE,sweet,"4 cl Porto,2 cl cognac,1 egg,cinnamon,nutmeg,2 cl cane sugar syrup,ice cubesIn a shaker, put alcohol and cane syrup. Then add the spices. Mix with a long spoon.Add egg and ice cubes. Close the shaker and mix.Serve in a cocktail glass, saupodrer a little cinnamon.It can do so only with port too.}}"," Porto, cognac",0,0,cane sugar syrup,ice cube,0,"egg, cinnamon, nutmeg"
21-recipe,Shoot up,Mangalore;sparkling water;apricot,FALSE,none,3,3,FALSE,FALSE,sweet,"1 cl mangalore,8 cl sparkling water,3 cl apricot syrupMix syrup and mangalore.Then fill the glass by fresh carbonated water.}}",mangalore,0,0,apricot syrup,0,0,sparkling water
22-recipe,The kiss of Smurfette,vodka;Blue curacao;Lemonade;Banana juice,FALSE,low,4,4,FALSE,TRUE,sweet,"2 cl vodka,2 cl Blue curacao,5 cl Lemonade,5 cl Banana juicePour all ingredients in order in a martini glass or cocktail and serve very very cool!}}","vodka, Blue curacao",0,Banana juice,Lemonade,0,0,0
23-recipe,Cocktail Praslin Islands,Manguo juice;Pineapple juice;Passion fruit juice;Lime juice;sugar,TRUE,none,4,5,TRUE,TRUE,sweet,"40 cl Manguo juice,30 cl Pineapple juice, 20 l Passion fruit juice, 10 cl Lime juice, 15 g sugarThe whole is mixed in a bottle.Shaken well for about 20 seconds and put in the fridge for it to be chilled before serving.Serve in tall glasses and cocktail with pretty colored straws.}}",,,"Manguo juice,Pineapple juice,  Passion fruit juice, Lime juice",,,Sugar,0
24-recipe,Arranged with apple rum,rum;apple juice;cane sugar;cinnamon,TRUE,low,3,4,TRUE,TRUE,sweet,"25 cl rum,1 l apple juice,10 cl cane sugar,cinnamonIn a bottle, mix 25 cl dark rum with a liter of apple juice and complete with a shot of sugar cane.Flavored with cinnamon or other according to your tastes, then let stand at least one day for the maceration is complete.}}",rum,,apple juice,,,cane sugar,cinnamon
25-recipe,Gin fizz easy,Gin;lime;cane sugar;sparkling water,TRUE,low,3,4,TRUE,TRUE,sweet,"6 cl Gin,3 cl  lime,1 tsp cane sugar,5 cl  sparkling waterPut all ingredients in a shaker and shake vigorously until the walls of the shaker to fog.Pour the contents of the shaker into the two glasses with soda water and then lie down.Serve chilled with crushed ice, a straw and a slice of lime.}}",Gin,,lime,,,cane sugar,sparkling water
26-recipe,Cider cocktail,Hard cider;Creme de cassis;cointreau,FALSE,high,3,3,TRUE,TRUE,sweet,"9 cl Hard cider,2 cl Creme de cassis, 2 cl cointreauMix cassis and Cointreau.Keep cool all ingredients.At the last minute add the cider.}}",cointreau,,,Hard cider,,0,Creme de cassis
27-recipe,Planter's Punch,dark rum;lemon juice;orange juice;syrup;Grenadine,FALSE,low,5,5,TRUE,TRUE,sweet,"4 cl dark rum,2 cl lemon juice,10 cl orange juice,2 cl cane syrup, 1 cl grenadine syrup Pour the rum, grenadine and lemon juice into a mixing glass filled with ice cubes.Shake well.Strain into a highball glass filled with ice cubes.Add the grenadine.}}",dark rum,,"lemon juice,orange juice ","Grenadine, cane syrup",,0,0
28-recipe,Coconut cocktail,vodka;rice milk;coconut;ice cream;cane sugar;ice cube,TRUE,low,4,6,TRUE,FALSE,,,,,0,,,0,0
29-recipe,Walnut cocktail coconut coffee,malibu rum;coconut milk;Tamarin juice;coffee;cane sugar syrup;ice cube,TRUE,low,5,6,TRUE,TRUE,,,,,,,,0,0
30-recipe,Rinse drops (cocktail),apple cider;cognac;Creme de cassis;ice cube,FALSE,high,3,4,TRUE,TRUE,,,,,,,,0,0
31-recipe,Cocktail MAP,White martini;Angostura bitter;grapefruit juice,FALSE,high,2,3,TRUE,TRUE,,,,,,,,0,0
32-recipe,Mojito with Basil,white rum;sparkling water;cane sugar syrup;brown sugar;lime;anise basil;ice cube,TRUE,low,3,7,TRUE,TRUE,,,,,,,,0,0
33-recipe,Cocktail orchard,apricot liqueur;apple liqueur;Pear juice;ice cube,FALSE,low,3,4,TRUE,TRUE,,,,,,,,0,0
34-recipe,Cocktail Pomenas,grapefruit juice;Pineapple juice;apple juice;raspberry;ice cube,FALSE,none,3,5,TRUE,TRUE,,,,,,,,0,0
35-recipe,Cocktail KidiCana,apple juice;Currant syrup;lemongrass;ginger;ice cube,FALSE,none,2,5,TRUE,TRUE,,,,,,,,0,0
36-recipe,Cocktail paradise,Orange juice;vodka;pisang ambon;cane sugar syrup,TRUE,low,4,4,TRUE,TRUE,,,,,,,,0,0
37-recipe,Cava Cocktail Vodka Lemon,cava;vodka;lime;lime zest,FALSE,high,3,4,TRUE,TRUE,,,,,,,,0,0
38-recipe,Aperol Spritz: Italian sparkling cocktail,Prosecco;soda water;ice cube;blood orange,FALSE,high,2,4,TRUE,TRUE,,,,,,,,0,0
39-recipe,Limoncello cocktail,orange;Amber rum;lemon liqueur;ice cube,FALSE,high,1,4,TRUE,TRUE,,,,,,,,0,0
40-recipe,Cuban Mojito,cane sugar;lime;mint;sparkling water;rum;ice cube,TRUE,0,0,6,TRUE,TRUE,minty,,,,,,,0,0
41-recipe,Delicious tropical cocktail,Orange juice;grapefruit juice;Pineapple juice;lemon;malibu rum;Grenadine,FALSE,high,5,6,TRUE,TRUE,,,,,,,,0,0
42-recipe,Cocktail champanise,sparkling wine;cointreau;lemon;cane sugar syrup;ice cube,TRUE,high,2,5,TRUE,TRUE,,,,,,,,0,0
43-recipe,Negroni Cocktail,campari;Gin;Angostura bitter;soft drink;ice cube;Orange,FALSE,low,4,6,TRUE,TRUE,,,,,,,,0,0
44-recipe,Cocktail fruit juice for children,Pineapple juice;apple juice;ice cube;pineapple;apple;powdered sugar,TRUE,0,0,6,TRUE,TRUE,,,,,,,,0,0
45-recipe,Creole cream (cocktail),white rum;Vermouth;lemon juice;grenadine,FALSE,high,4,4,TRUE,TRUE,,,,,,,,0,0
46-recipe,Fruit cocktail with lime,coconut milk;multivitamin juice;Lime juice;ice cube;lime,FALSE,none,2,5,TRUE,TRUE,,,,,,,,0,0
47-recipe,White russian cocktail,vodka;Creme de cafe;whole milk;ice cube,FALSE,high,3,4,TRUE,TRUE,,,,,,,,0,0
48-recipe,Margarita,tequila;triple sec;lime juice;salt,FALSE,high,3,4,TRUE,TRUE,salty,,,,,,,0,0
49-recipe,Rainbow,Orange juice;vodka;Grenadine;Blue curacao,FALSE,low,4,4,TRUE,TRUE,,,,,,,,0,0
50-recipe,Cocktail Sundays snow,raspberry;currant;grapefruit;orange,FALSE,0,0,4,TRUE,TRUE,,,,,,,,0,0
51-recipe,Ginger cosmo,ginger;vodka;triple sec;Lime juice;Cranberry juice,FALSE,high,4,5,TRUE,TRUE,,,,,,,,0,0
52-recipe,Pink cocktail whiskey,raspberry;coriander;Whiskey;Sour cream;pistachio nut,FALSE,low,2,5,FALSE,FALSE,sour,,0,0,0,0,0,0,0
53-recipe,Cocktail grapefruit mint,grapefruit;ice cube;brown sugar;mint,TRUE,0,0,4,FALSE,FALSE,minty,,0,0,0,0,0,0,0
54-recipe,Fruit cocktail,banana;apple;kiwi fruit;water;vanilla sugar;Brown sugar,TRUE,none,1,6,FALSE,FALSE,,,0,0,0,0,0,0,0
55-recipe,Champagne cocktail mint lime,champagne;ice cube;Lime juice;mint;lemon zest,FALSE,high,1,5,FALSE,FALSE,minty,,0,0,0,0,0,0,0
56-recipe,Bloody mary,vodka;tomato juice;lemon juice;worcestershire sauce;tabasco sauce;celery salt;pepper,FALSE,low,4,7,FALSE,FALSE,salty,,0,0,0,0,0,0,0
57-recipe,Tequila sunrise,tequila;orange juice;Grenadine,FALSE,low,3,3,FALSE,FALSE,,,0,0,0,0,0,0,0
58-recipe,Cocktail drink with raspberries,white wine;sparkling wine;raspberry;sugar,TRUE,high,2,4,FALSE,FALSE,,,0,0,0,0,0,0,0
59-recipe,Cocktail cardinal,ice cube;campari;Noilly Prat;Gin,FALSE,high,3,4,FALSE,FALSE,,,0,0,0,0,0,0,0
60-recipe,Cocktail anapomise,Cherry juice;apple juice;Pineapple juice;Plum brandy;cane sugar,TRUE,low,5,5,FALSE,FALSE,,,0,0,0,0,0,0,0
61-recipe,Daiquiri,white rum;lime juice;cane sugar syrup;Ice cube,TRUE,high,3,4,FALSE,FALSE,,,0,0,0,0,0,0,0
62-recipe,Sangria without alcohol,sangria syrup;grape juice;orange juice;lemon juice;fruit,FALSE,none,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
63-recipe,Cocktail Tropical Sunshine,Pineapple juice;Orange juice;Currant syrup;coconut;ice cube,FALSE,none,3,5,FALSE,FALSE,,,0,0,0,0,0,0,0
64-recipe,Light cocktail martini,red martini;sparkling mineral water;lime;mint;sugar,TRUE,high,2,5,FALSE,FALSE,minty,,0,0,0,0,0,0,0
65-recipe,Screwdriver,vodka;orange juice,FALSE,low,2,2,FALSE,FALSE,,,0,0,0,0,0,0,0
66-recipe,Italian prosecco cocktail,Prosecco;litchi;Litchi juice;berry juice;Lemonade,FALSE,low,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
67-recipe,Virevoltage,malibu rum;Litchi liqueur;Pineapple juice;apple juice;strawberry,FALSE,low,5,5,FALSE,FALSE,,,0,0,0,0,0,0,0
68-recipe,Lemon-mint cocktail (without alcohol),mint;cane sugar;Lime juice;lemon juice;mint;lemon slice,TRUE,none,3,6,FALSE,FALSE,minty,,0,0,0,0,0,0,0
69-recipe,Champagne cocktail and sake,champagne;Rice wine;coriander,FALSE,high,2,3,FALSE,FALSE,,,0,0,0,0,0,0,0
70-recipe,Frosty lime,lime;grapefruit juice;mint syrup;mint,FALSE,none,2,4,FALSE,FALSE,minty,,0,0,0,0,0,0,0
71-recipe,Cocktail Saltwater,sparkling wine;Blue curacao;triple sec;Lemon syrup;Orange syrup;cane sugar,TRUE,low,5,6,FALSE,FALSE,,,0,0,0,0,0,0,0
72-recipe,Grand Marnier sour (cocktail),grand marnier;lemon juice,FALSE,high,2,2,FALSE,FALSE,,,0,0,0,0,0,0,0
73-recipe,Amber apple cocktail,apple;lemon;ice cube;apple juice;calvados;Creme de cassis;champagne;blackcurrant;apple;pineapple,FALSE,high,4,10,FALSE,FALSE,,,0,0,0,0,0,0,0
74-recipe,Caipirinha,cachaca;lime;Granulated sugar;ice cube,TRUE,high,1,4,FALSE,FALSE,,,0,0,0,0,0,0,0
75-recipe,Whisky Cocktail Cranberries,Whiskey;Cranberry juice,FALSE,low,2,2,FALSE,FALSE,,,0,0,0,0,0,0,0
76-recipe,Aquarium,Blue curacao;white rum;tequila;martini;cane sugar,TRUE,high,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
77-recipe,Melon cocktail bubbles,melon;Cremant;cane sugar;lemon;ice cube,TRUE,high,2,5,FALSE,FALSE,,,0,0,0,0,0,0,0
78-recipe,Le vandetta,juice;orgeat;strawberry;strawberry,FALSE,none,3,4,FALSE,FALSE,,,0,0,0,0,0,0,0
79-recipe,Pink 3x6 (cocktail),lime;lemon;Strawberry juice;grapefruit juice;fruit syrup;Lemonade;ice cube,FALSE,none,3,7,FALSE,FALSE,,,0,0,0,0,0,0,0
80-recipe,Mojito,white rum;mint;lime;sugar;Sparkling water;ice cube,TRUE,low,2,6,FALSE,FALSE,minty,,0,0,0,0,0,0,0
81-recipe,Cocktail Pomabricotine,Apricot juice;apple juice;sparkling water;liqueur;grenadine,FALSE,low,5,5,FALSE,FALSE,,,0,0,0,0,0,0,0
82-recipe,EssaiCCC,lemon;pear;vodka,FALSE,0,0,3,FALSE,FALSE,,,0,0,0,0,0,0,0
83-recipe,Baywatch (cocktail of the colors of the famous swimwear ... or almost),malibu rum;cherry;guava juice;currant,FALSE,low,3,4,FALSE,FALSE,,,0,0,0,0,0,0,0
84-recipe,Bora bora,pineapple juice;passion fruit juice;grenadine;lemon juice;ice cube,FALSE,none,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
85-recipe,Cocktail de fruits,banana;apple;kiwi fruit;water;vanilla sugar;Brown_sugar,TRUE,none,1,6,FALSE,FALSE,,,0,0,0,0,0,0,0
86-recipe,Cocktail latte,coffee liqueur;Whiskey;rice milk;cane sugar;ice cube,TRUE,low,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
87-recipe,Cocktail kumquat and lychee,kumquat;litchi;clementine orange;orange;water;Lemonade,FALSE,none,2,6,FALSE,FALSE,,,0,0,0,0,0,0,0
88-recipe,Mexican cocktail in my way,tequila;guava juice;Pineapple juice;apple juice;vanilla sugar;mint,TRUE,low,4,6,FALSE,FALSE,minty,,0,0,0,0,0,0,0
89-recipe,Fraisalia cocktail (without alcohol),strawberry;Orange juice;strawberry syrup;Lemonade;ice cube,FALSE,none,3,5,FALSE,FALSE,,,0,0,0,0,0,0,0
90-recipe,Sweet pink cocktail,raspberry;lemon;ice cube;grape juice;Orange juice;Schweppes;berry,FALSE,none,3,7,FALSE,FALSE,,,0,0,0,0,0,0,0
91-recipe,Red cocktail,pear liqueur;strawberry syrup;peach juice;vodka,FALSE,low,4,4,FALSE,FALSE,,,0,0,0,0,0,0,0
92-recipe,Cocktail Sweet Melon,melon;lime;Orange juice;Pineapple juice;soda water,FALSE,none,3,5,FALSE,FALSE,,,0,0,0,0,0,0,0
93-recipe,Champagne cocktail,brown sugar;Angostura bitter;cognac;champagne,TRUE,high,2,4,FALSE,FALSE,,,0,0,0,0,0,0,0
94-recipe,Cocktail variant (based rose),blush wine;orange syrup;Orange juice,FALSE,high,3,3,FALSE,FALSE,,,0,0,0,0,0,0,0
95-recipe,Double show,gin;orange juice;mint syrup;apple liqueur,FALSE,low,4,4,FALSE,FALSE,minty,,0,0,0,0,0,0,0
96-recipe,Hulk (cocktail),White martini;Get_27;grapefruit juice,FALSE,high,3,3,FALSE,FALSE,,,0,0,0,0,0,0,0
97-recipe,Cocktail mexicanos,beer;Pineapple juice;strawberry syrup,FALSE,low,3,3,FALSE,FALSE,,,0,0,0,0,0,0,0
98-recipe,Black velvet,stout;champagne,FALSE,high,2,2,FALSE,FALSE,,,0,0,0,0,0,0,0
99-recipe,Champagne soup (cocktail),cointreau;cane sugar;lime;ice cube;champagne,TRUE,high,3,5,FALSE,FALSE,,,0,0,0,0,0,0,0
100-recipe,Cuba libre,white rum;lime;coca-cola,FALSE,low,2,3,FALSE,FALSE,,,0,0,0,0,0,0,0
101-recipe,Tutti cocktail,strawberry syrup;peach syrup;vodka;apple;ice cube,FALSE,low,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
102-recipe,Pina colada,white rum;amber rum;pineapple juice;coconut milk;crushed ice,FALSE,low,4,5,FALSE,FALSE,,,0,0,0,0,0,0,0
103-recipe,Strawberry Margarita,ice cube;lime;strawberry;tequila;cointreau;sugar,TRUE,high,2,6,FALSE,FALSE,,,0,0,0,0,0,0,0
104-recipe,Pink cocktail pink grapefruit,blush wine;grapefruit juice;grenadine,FALSE,high,3,3,FALSE,FALSE,,,0,0,0,0,0,0,0
105-recipe,Bacardi cocktail,,,high,3,3,TRUE,TRUE,,"24 cl rum,6 cl Grenadine syrup,12 cl lemon juice 1. Put the rum, grenadine syrup and lemon juice in a shaker.Shake.}}","rum, grenadine",,lemon juice,,,0,0
106-recipe,MTS Cocktail,martini;triple sec;cane sugar syrup;multivitamin juice,TRUE,high,4,4,FALSE,FALSE,,,0,0,0,0,0,0,0
107-recipe,Madras Cocktail,Orange juice;white wine;Grenadine,FALSE,low,3,3,FALSE,FALSE,,,0,0,0,0,0,0,0