Week,Amount
1,"20,583"
2,"6,320"
3,"10,266"
4,"1,199"
5,"9,794"
6,"9,873"
7,"13,696"
8,"27,657"
9,"14,251"
10,"4,389"
11,"25,928"
12,"44,358"
13,"18,412"
14,"33,261"
15,"25,713"
16,"15,428"
17,"9,638"
18,"9,509"
19,"7,230"
20,"23,827"
21,"5,400"
22,"28,903"
23,"23,750"
24,"10,399"
25,"4,977"
26,"2,065"
27,"9,786"
28,"8,857"
29,"17,585"
30,"2,594"
31,"31,784"
32,"15,248"
33,"7,309"
34,"5,097"
35,"24,951"
36,"21,843"
37,"46,469"
38,"15,434"
39,"11,726"
40,"7,876"
41,"5,618"
42,"15,645"
43,"7,266"
44,"8,663"
45,"15,690"
46,"11,385"
47,"13,184"
48,"7,932"
49,"11,652"
50,"14,114"
51,"6,785"
52,"17,194"
53,"7,958"
54,"13,820"
55,"10,580"
56,"20,030"
57,"7,321"
58,"27,851"
59,"1,631"
60,"1,345"
61,"27,497"
62,"15,972"
63,"18,271"
64,"1,520"
65,"28,010"
66,"18,078"
67,"27,868"
68,"14,304"
69,"9,838"
70,"15,298"
71,"6,005"
72,"8,562"
73,"5,885"
74,"3,202"
75,"5,409"
76,"2,050"
77,"13,321"
78,"2,803"
79,"38,725"
80,"3,442"
81,"10,978"
82,"10,982"
83,"13,815"
84,"8,096"
85,"15,023"
86,"23,850"
87,"2,242"
88,"17,258"
89,"13,813"
90,"4,856"
91,"5,063"
92,"4,119"
93,"5,088"
94,"8,858"
95,"6,365"
96,"17,861"
97,"2,938"
98,"8,421"
99,"7,481"
100,"7,693"
101,"13,489"
102,"4,156"
103,"4,713"
104,"21,814"
105,"6,771"
106,"13,728"
107,824
108,"6,020"
109,"24,416"
110,"1,195"
111,"9,324"
112,"5,568"
113,"5,934"
114,"7,111"
115,"7,068"
116,"8,676"
117,"10,631"
118,"4,162"
119,"1,689"
120,"4,732"
121,"7,402"
122,"14,259"
123,"6,668"
124,"11,353"
125,"9,388"
126,"8,010"
127,"11,678"
128,"19,933"
129,"10,379"
130,"13,874"
131,"4,720"
132,"13,034"
133,"26,488"
134,"10,635"
135,"8,574"
136,"2,715"
137,"4,337"
138,"9,197"
139,"6,339"
140,"9,898"
141,624
142,"5,767"
143,"6,814"
144,"21,411"
145,"18,457"
146,"24,784"
147,"42,625"
148,"8,944"
149,"7,953"
150,"5,223"
151,"20,295"
152,"13,883"
153,"10,517"
154,"6,591"
155,"7,671"
156,"7,127"